"","shenduxuexidata.belong","shenduxuexidata.X","shenduxuexidata.name","shenduxuexidata.location","shenduxuexidata.salary","shenduxuexidata.require","shenduxuexidata.time","shenduxuexidata.company","shenduxuexidata.companysituation","shenduxuexidata.companyintro","shenduxuexidata.tags","jiqixuexidata.belong","jiqixuexidata.X","jiqixuexidata.name","jiqixuexidata.location","jiqixuexidata.salary","jiqixuexidata.require","jiqixuexidata.time","jiqixuexidata.company","jiqixuexidata.companysituation","jiqixuexidata.companyintro","jiqixuexidata.tags","tuxiangchulidata.belong","tuxiangchulidata.X","tuxiangchulidata.name","tuxiangchulidata.location","tuxiangchulidata.salary","tuxiangchulidata.require","tuxiangchulidata.time","tuxiangchulidata.company","tuxiangchulidata.companysituation","tuxiangchulidata.companyintro","tuxiangchulidata.tags","tuxiangshibiedata.belong","tuxiangshibiedata.X","tuxiangshibiedata.name","tuxiangshibiedata.location","tuxiangshibiedata.salary","tuxiangshibiedata.require","tuxiangshibiedata.time","tuxiangshibiedata.company","tuxiangshibiedata.companysituation","tuxiangshibiedata.companyintro","tuxiangshibiedata.tags","yuyinshibiedata.belong","yuyinshibiedata.X","yuyinshibiedata.name","yuyinshibiedata.location","yuyinshibiedata.salary","yuyinshibiedata.require","yuyinshibiedata.time","yuyinshibiedata.company","yuyinshibiedata.companysituation","yuyinshibiedata.companyintro","yuyinshibiedata.tags","jiqishijuedata.belong","jiqishijuedata.X","jiqishijuedata.name","jiqishijuedata.location","jiqishijuedata.salary","jiqishijuedata.require","jiqishijuedata.time","jiqishijuedata.company","jiqishijuedata.companysituation","jiqishijuedata.companyintro","jiqishijuedata.tags","suanfagongchengshidata.belong","suanfagongchengshidata.X","suanfagongchengshidata.name","suanfagongchengshidata.location","suanfagongchengshidata.salary","suanfagongchengshidata.require","suanfagongchengshidata.time","suanfagongchengshidata.company","suanfagongchengshidata.companysituation","suanfagongchengshidata.companyintro","suanfagongchengshidata.tags","ziranyuyanchulidata.belong","ziranyuyanchulidata.X","ziranyuyanchulidata.name","ziranyuyanchulidata.location","ziranyuyanchulidata.salary","ziranyuyanchulidata.require","ziranyuyanchulidata.time","ziranyuyanchulidata.company","ziranyuyanchulidata.companysituation","ziranyuyanchulidata.companyintro","ziranyuyanchulidata.tags"
"30","shenduxuexidata",30,"深度学习研究员","厦门·思明区","10k-20k","经验不限/本科","17:35发布","唯你网","企业服务,移动互联网/A轮/500-2000人","“落户厦门,六险一金,AI大团队,专家云集”","/Python/算法/机器学习/","jiqixuexidata",30,"机器学习工程师","北京·朝阳区","35k-60k","经验1年以下/本科","11:41发布","闪银奇异","移动互联网,金融/D轮及以上/500-2000人","“七险一金,免费健身,午餐自助,团队大牛”","/算法/数据挖掘/数据分析/","tuxiangchulidata",30,"图像处理工程师","福州·鼓楼区","12k-16k","经验1-3年/硕士","1天前发布","岂微","移动互联网,游戏/天使轮/15-50人","“前沿应用,博士团队,校园办公,股权激励”","/大数据/移动互联网/数据处理/Hadoop/","tuxiangshibiedata",30,"AI-图像识别","武汉·洪山区","20k-30k","经验3-5年/本科","2019-03-11","时光小屋","移动互联网/B轮/15-50人","“带薪年假,五险一金,午餐补助,生日福利”","/人工智能/深度学习/机器学习/算法/","yuyinshibiedata",30,"语音识别工程师","北京·学院路","25k-45k","经验1-3年/本科","15:08发布","云陆置业","移动互联网,生活服务/未融资/15-50人","“创始人技术大牛，知名院校毕业”","/人工智能/语音合成/","jiqishijuedata",30,"机器视觉高级工程师","深圳·南山区","15k-30k","经验3-5年/本科","2019-02-27","TCL通讯科技控股有限公司","移动互联网,硬件/上市公司/2000人以上","“机器视觉”","/高级技术管理/","suanfagongchengshidata",30,"资深算法工程师","深圳·上梅林","40k-80k","经验5-10年/本科","14:19发布","vivo","移动互联网/未融资/2000人以上","“亿级用户,千万日活,氛围好”","/移动互联网/数据挖掘/","ziranyuyanchulidata",30,"自然语言处理工程师","深圳·深圳湾","20k-40k","经验3-5年/本科","2019-03-13","Lazada","移动互联网电子商务/不需要融资/2000人以上","“阿里巴巴海外事业部”","/电商/搜索/推荐/NLP/人工智能/"
"31","shenduxuexidata",31,"深度学习算法工程师实习生","北京·朝阳区","6k-7k","经验应届毕业生/大专","2天前发布","平安科技","金融/不需要融资/2000人以上","“全年技术交流不间断”","/人工智能/","jiqixuexidata",31,"机器学习算法工程师","深圳·新安","15k-30k","经验1-3年/本科","2019-03-15","vivo","移动互联网/未融资/2000人以上","“弹性工作,大数据平台,工作氛围好,管理规”","/年终分红/带薪年假/年度旅游/岗位晋升/","tuxiangchulidata",31,"图像处理工程师-东方图库","北京·海淀区","25k-50k","经验1-3年/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“六险一金，免费三餐，租房补贴，扁平管理”","/图像处理/图形处理/","tuxiangshibiedata",31,"图像识别工程师","杭州·余杭区","20k-40k","经验1-3年/本科","1天前发布","数美","企业服务,数据服务/B轮/150-500人","“行业大咖,自由开放,Geek”","/大数据/算法/数据挖掘/","yuyinshibiedata",31,"语音识别工程师","北京·海淀区","30k-50k","经验3-5年/本科","1天前发布","快手","移动互联网/D轮及以上/2000人以上","“弹性工作,股票期权,精英团队,千万级用户”","/人工智能/","jiqishijuedata",31,"机器视觉工程师","佛山·顺德区","20k-40k","经验3-5年/本科","16:41发布","博智林机器人公司","移动互联网,人工智能/上市公司/500-2000人","“高薪,高平台”","/机器学习/","suanfagongchengshidata",31,"高级算法工程师","上海·平凉路","20k-30k","经验3-5年/硕士","11:43发布","达达-京东到家","O2O/D轮及以上/2000人以上","“算法,高并发,互联网”","/机器学习/图像处理/","ziranyuyanchulidata",31,"自然语言处理研发工程师（NLP）","深圳·新安","30k-55k","经验3-5年/本科","14:19发布","vivo","移动互联网/未融资/2000人以上","“平台大,海量用户,技术氛围好,个人成长快”","/算法/数据挖掘/"
"32","shenduxuexidata",32,"深度学习/计算机视觉算法开发工程师","北京·五道口","20k-40k","经验3-5年/本科","2天前发布","商汤科技","移动互联网/C轮/2000人以上","“大牛云集；扁平管理；带薪年假”","/五险一金/弹性工作/丰盛三餐/发展空间大/","jiqixuexidata",32,"机器学习工程师（图像处理）","深圳·南山区","18k-30k","经验3-5年/本科","12:13发布","大道金服","移动互联网,金融/B轮/500-2000人","“硅谷大咖带你飞”","/人工智能/","tuxiangchulidata",32,"图像算法","上海·华漕","20k-40k","经验3-5年/硕士","2天前发布","水象科技","电子商务/未融资/2000人以上","“五险一金 双休 拓展活动”","/电商/移动互联网/深度学习/图像处理/数据挖掘/人工智能/","tuxiangshibiedata",32,"图像识别工程师","武汉·东湖新技术开发区","6k-12k","经验不限/不限","2019-03-01","唯理科技","企业服务/不需要融资/15-50人","“博士带队,发展空间好,项目棒”","/人工智能/深度学习/图像处理/算法/","yuyinshibiedata",32,"语音识别算法工程师","北京·中关村","18k-35k","经验不限/硕士","1天前发布","中科智加","移动互联网,数据服务/不需要融资/50-150人","“五险一金 带薪年假 高额年终奖”","/人工智能/机器学习/","jiqishijuedata",32,"机器视觉工程师","上海·虹口区","15k-30k","经验3-5年/本科","09:49发布","成都睿码科技有限责任公司（KANKAN AI）","移动互联网,数据服务/上市公司/150-500人","“六险一金、年底双薪、年终绩效、多重福利”","/C++/","suanfagongchengshidata",32,"算法工程师（自然语言处理）","深圳·南山区","20k-28k","经验应届毕业生/硕士","2天前发布","平安科技","金融/不需要融资/2000人以上","“年终丰厚 全年技术交流不间断”","/人工智能/NLP/","ziranyuyanchulidata",32,"11122I-LT-312-NLP算法工程师","上海·梅园","25k-50k","经验3-5年/硕士","2天前发布","平安科技","金融/不需要融资/2000人以上","“带薪年假,定期体检,员工旅游,节日福利”","/深度学习/人工智能/"
"33","shenduxuexidata",33,"深度学习工程师","北京·工体","20k-40k","经验1-3年/本科","1天前发布","百炼智能","移动互联网,人工智能/天使轮/15-50人","“团队技术强,氛围好”","/人工智能/机器学习/","jiqixuexidata",33,"机器学习工程师","北京·海淀区","50k-70k","经验3-5年/硕士","11:56发布","乐元素游戏","移动互联网,游戏/不需要融资/500-2000人","“技术大牛,人工智能,机器学习,大数据”","/人工智能/算法/","tuxiangchulidata",33,"图像处理研究员","北京·中关村","15k-25k","经验应届毕业生/硕士","11:40发布","葡萄智学","移动互联网,教育/天使轮/50-150人","“互联网教育,大牛团队,股票期权”","/深度学习/计算机视觉/模式识别/","tuxiangshibiedata",33,"资深图像识别工程师","北京·白石桥","30k-60k","经验3-5年/本科","3天前发布","新意互动","广告营销/上市公司/500-2000人","“上市公司，扁平化管理”","/广告营销/汽车/深度学习/计算机视觉/图像处理/机器学习/","yuyinshibiedata",33,"语音识别算法研究员","北京·中关村","30k-60k","经验不限/硕士","11:40发布","葡萄智学","移动互联网,教育/天使轮/50-150人","“牛人团队,核心技术”","/语音合成/深度学习/","jiqishijuedata",33,"机器视觉与机械臂算法高级工程师","北京·团结湖","25k-50k","经验3-5年/硕士","2019-02-27","猎户星空","移动互联网,硬件/B轮/500-2000人","“牛人密布,高薪”","/计算机视觉/","suanfagongchengshidata",33,"2020届实习--算法工程师","厦门·思明区","2k-3k","经验应届毕业生/硕士","2天前发布","瑞幸咖啡","移动互联网,O2O/B轮/2000人以上","“培训体系完整,氛围好”","/新零售/机器学习/深度学习/NLP/计算机视觉/","ziranyuyanchulidata",33,"NLP算法工程师","北京·""""","35k-45k","经验3-5年/本科","2天前发布","美团点评","移动互联网,O2O/上市公司/2000人以上","“平台大，大牛团队”","/算法/"
"34","shenduxuexidata",34,"深度学习工程师","上海·长宁区","25k-50k","经验3-5年/本科","2天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“发展快,薪酬给力,包三餐,上市公司”","/图像处理/计算机视觉/算法/","jiqixuexidata",34,"机器学习工程师","上海·徐汇区","15k-30k","经验1-3年/本科","11:45发布","问卷网@爱调研","移动互联网/B轮/150-500人","“弹性工作,职业发展”","/NLP/数据分析/算法/","tuxiangchulidata",34,"图像处理科学家","北京·中关村","35k-70k","经验3-5年/博士","2019-03-06","好未来","移动互联网,教育/上市公司/2000人以上","“上市公司,大牛团队,晋升空间大,弹性工作制”","/视频/机器学习/深度学习/模式识别/","tuxiangshibiedata",34,"AI开发/图像识别实习生","广州·大学城","4k-7k","经验应届毕业生/硕士","1天前发布","讯码科技","移动互联网,生活服务/A轮/150-500人","“福利全,待遇优,领导好,牛人多”","/人工智能/NLP/计算机视觉/图像处理/","yuyinshibiedata",34,"语音识别算法工程师","上海·华漕","20k-40k","经验3-5年/硕士","2天前发布","水象科技","电子商务/未融资/2000人以上","“五险一金 双休 拓展活动”","/新零售/移动互联网/人工智能/模式识别/深度学习/","jiqishijuedata",34,"机器视觉开发工程师","北京·回龙观","15k-25k","经验3-5年/本科","2019-03-15","镁伽机器人","硬件/A轮/50-150人","“弹性工作，免费午餐，五险一金，定期团建”","/人工智能/计算机视觉/模式识别/","suanfagongchengshidata",34,"高级/资深算法工程师","广州·珠江新城","20k-40k","经验3-5年/本科","17:27发布","Mobvista","移动互联网/上市公司/500-2000人","“绩效奖金,三餐下午茶,员工旅游,周末双薪”","/广告营销/数据挖掘/数据分析/","ziranyuyanchulidata",34,"自然语言处理研究员","上海·徐汇区","25k-50k","经验3-5年/硕士","2天前发布","商汤科技","移动互联网/C轮/2000人以上","“人工智能”","/人工智能/NLP/推荐/搜索/"
"35","shenduxuexidata",35,"机器学习/深度学习/算法工程师","武汉·洪山区","8k-16k","经验3-5年/本科","15:43发布","有点","移动互联网,数据服务/未融资/15-50人","“工作氛围好,周末双休,良好的环境”","/","jiqixuexidata",35,"机器学习工程师（NLP）","上海·杨浦区","25k-40k","经验1-3年/博士","11:37发布","R2.ai","人工智能/A轮/50-150人","“AI,NLP,机器学习”","/其他/人工智能/","tuxiangchulidata",35,"图像算法","深圳·科技园","28k-35k","经验3-5年/本科","3天前发布","木白科技","企业服务,医疗健康/天使轮/少于15人","“如果你爱学习肯钻研，报班买资料，公司买单”","/图像处理/深度学习/","tuxiangshibiedata",35,"高级图像识别算法","深圳·大冲","25k-50k","经验3-5年/本科","1天前发布","wlaike","移动互联网,企业服务/B轮/150-500人","“超高分红,诱人薪资,股票分红,高额补贴”","/图像处理/","yuyinshibiedata",35,"（高级）语音识别工程师","苏州·独墅湖","25k-50k","经验3-5年/硕士","2019-03-14","思必驰科技","企业服务/D轮及以上/150-500人","“明星企业 技术实力强 成长空间大”","/人工智能/","jiqishijuedata",35,"机器视觉算法应用工程师","上海·长宁区","20k-40k","经验1-3年/本科","2天前发布","拼多多","电子商务,移动互联网/上市公司/2000人以上","“平台好,大牛多,薪资待遇佳”","/大数据/Java/Python/","suanfagongchengshidata",35,"高级算法工程师/专家","北京·中关村","30k-50k","经验3-5年/本科","2天前发布","腾讯","移动互联网,游戏/上市公司/2000人以上","“发展前景”","/后端/","ziranyuyanchulidata",35,"自然语言处理（初中级）","上海·张江","15k-25k","经验1-3年/本科","11:10发布","喜马拉雅","移动互联网,文化娱乐/D轮及以上/500-2000人","“年底多薪”","/人工智能/NLP/"
"36","shenduxuexidata",36,"机器学习/深度学习/算法工程师","福州·铜盘","10k-15k","经验不限/本科","15:25发布","顶点软件","移动互联网,企业服务/不需要融资/500-2000人","“六险一金,餐补体检等,员工旅游,丰厚年终奖”","/大数据/","jiqixuexidata",36,"机器学习工程师","深圳·白石洲","30k-45k","经验1-3年/本科","10:52发布","中腾信","金融/不需要融资/2000人以上","“分类,聚类”","/节日礼物/年底多薪/绩效奖金/岗位晋升/","tuxiangchulidata",36,"图像处理工程师","武汉·中南路","8k-15k","经验1-3年/本科","1天前发布","亿策金点在线教育","移动互联网,教育/未融资/150-500人","“周末双休，五险一金”","/教育/","tuxiangshibiedata",36,"计算机视觉/图像识别工程师","南京·中央门","10k-20k","经验不限/大专","1天前发布","绛门科技","移动互联网,数据服务/未融资/500-2000人","“五险一金,带薪年假,定期体检,员工旅游”","/深度学习/","yuyinshibiedata",36,"语音识别ASR","北京·西直门","30k-60k","经验3-5年/硕士","2天前发布","Udesk－企业级智能客服平台","移动互联网,企业服务/C轮/150-500人","“待遇优厚,海量数据,团队强悍,地铁周边”","/企业服务/云计算/NLP/机器学习/算法/","jiqishijuedata",36,"视觉机器学习架构师","北京·知春路","35k-70k","经验5-10年/本科","1天前发布","Bigo","移动互联网,社交网络/D轮及以上/500-2000人","“钱多 大牛多 惊喜福利多”","/视频/社交/","suanfagongchengshidata",36,"算法预研工程师","北京·海淀区","25k-35k","经验应届毕业生/硕士","11:46发布","北京配天","其他/不需要融资/500-2000人","“成长快,工作氛围好”","/建模/架构师/","ziranyuyanchulidata",36,"自然语言处理","北京·东大桥","20k-30k","经验1-3年/本科","17:41发布","商询科技","企业服务,数据服务/A轮/50-150人","“零食,地铁附近,五险一金”","/云计算/企业服务/人工智能/NLP/机器学习/"
"37","shenduxuexidata",37,"深度学习工程师","上海·江苏路地铁","14k-24k","经验不限/硕士","2天前发布","WESTWELLlab西井科技","数据服务,硬件/B轮/50-150人","“全球顶尖神经形态团队+一线薪酬福利”","/技能培训/股票期权/带薪年假/绩效奖金/","jiqixuexidata",37,"推荐算法/广告算法/机器学习","上海·张江","35k-70k","经验3-5年/硕士","09:57发布","上海腾聘","移动互联网,数据服务/B轮/50-150人","“发展空间,薪资给力,期权”","/移动互联网/","tuxiangchulidata",37,"图像调优工程师","杭州·江南","15k-30k","经验不限/本科","2天前发布","TP-LINK","硬件/不需要融资/2000人以上","“团队优秀,丰厚年终奖,发展潜力大,公司规模大”","/图像处理/","tuxiangshibiedata",37,"图像识别算法工程师","深圳·西丽","40k-80k","经验5-10年/本科","11:27发布","深圳知云网络科技有限公司","企业服务/未融资/2000人以上","“集团背景,上班免打卡,期权激励,扁平管理”","/人工智能/深度学习/图像处理/","yuyinshibiedata",37,"语音识别算法工程师","上海·金桥","25k-40k","经验不限/硕士","2019-03-14","证通股份","移动互联网,金融/不需要融资/150-500人","“平台稳定有前景，补充公积金，补充医疗”","/人工智能/机器学习/","jiqishijuedata",37,"机器视觉高级软件工程师","成都·高新区","20k-30k","经验5-10年/本科","2天前发布","极米科技","电子商务,硬件/D轮及以上/500-2000人","“无屏投影,平台大,待遇好,团队优”","/算法/","suanfagongchengshidata",37,"算法工程师","北京·牡丹园","20k-40k","经验3-5年/本科","18:08发布","众荟网","企业服务,数据服务/上市公司/500-2000人","“全额五险一金，商业保险，双休，大平台”","/机器学习/深度学习/数据挖掘/","ziranyuyanchulidata",37,"自然语言处理","上海·虹桥","25k-50k","经验1-3年/本科","14:34发布","天壤智能","移动互联网,企业服务/A轮/50-150人","“人工智能,带薪年假,免费零食”","/NLP/搜索/算法/人工智能/"
"38","shenduxuexidata",38,"深度学习系统工程师","上海·徐家汇","25k-50k","经验1-3年/硕士","2019-03-15","媒智科技","移动互联网/A轮/15-50人","“股权激励,人性化,氛围好,发展空间”","/人工智能/机器学习/图像处理/","jiqixuexidata",38,"机器学习工程师","北京·朝外","20k-40k","经验1-3年/本科","08:43发布","阳光产险信保事业部","金融/不需要融资/2000人以上","“五险一金,绩效奖金,节日福利,医疗保险”","/大数据/金融/Java/算法/","tuxiangchulidata",38,"图像处理经理--939","北京·海淀区","20k-40k","经验不限/硕士","1天前发布","任子行","移动互联网/上市公司/500-2000人","“晋升空间大”","/人工智能/","tuxiangshibiedata",38,"图像识别算法工程师","深圳·车公庙","25k-50k","经验3-5年/硕士","1天前发布","独立科技","人工智能/不需要融资/2000人以上","“算法”","/深度学习/","yuyinshibiedata",38,"语音识别算法工程师","北京·西北旺","18k-35k","经验不限/硕士","2019-03-13","清帆科技","移动互联网,教育/A轮/15-50人","“年13+薪,期权激励,优秀团队,蓝海领域”","/机器学习/深度学习/","jiqishijuedata",38,"机器视觉算法工程师","深圳·南山区","40k-80k","经验不限/博士","1天前发布","什力科技","移动互联网,其他/未融资/15-50人","“人工智能创业公司，薪资看能力”","/语音合成/深度学习/人工智能/计算机视觉/","suanfagongchengshidata",38,"算法工程师","北京·中关村","40k-80k","经验3-5年/硕士","16:48发布","伟仕互动","分类信息,企业服务/不需要融资/15-50人","“高效、自由、活跃”","/人工智能/图像处理/","ziranyuyanchulidata",38,"自然语言处理","武汉·洪山区","8k-16k","经验1-3年/本科","15:43发布","有点","移动互联网,数据服务/未融资/15-50人","“工作氛围好,福利待遇好”","/人工智能/机器学习/NLP/"
"39","shenduxuexidata",39,"深度学习-算法团队负责人","广州·越秀区","50k-80k","经验3-5年/本科","2019-03-12","筷子科技","数据服务,广告营销/B轮/50-150人","“人工智能,产品牛,前景好,氛围活跃”","/人工智能/机器学习/","jiqixuexidata",39,"机器学习工程师","深圳·科技园","30k-60k","经验不限/本科","10:11发布","无秘","移动互联网,金融/B轮/150-500人","“高速发展,团队优秀,待遇丰厚”","/教育/移动互联网/深度学习/算法/建模/","tuxiangchulidata",39,"图像处理高级研发工程师","深圳·科技园","20k-40k","经验不限/本科","11:01发布","腾讯","移动互联网,游戏/上市公司/2000人以上","“腾讯社交明星业务，团队氛围好，技术实力强”","/视频预处理/音视频/音频编解码/","tuxiangshibiedata",39,"图像识别算法工程师","北京·西三旗","8k-15k","经验应届毕业生/本科","2天前发布","奥德塔","企业服务,移动互联网/天使轮/15-50人","“餐补，交通补助，园区食堂，免费班车等”","/大数据/图像处理/","yuyinshibiedata",39,"语音识别算法专家","北京·东城区","40k-70k","经验3-5年/本科","12:51发布","客知音","企业服务,移动互联网/A轮/50-150人","“人工智能；技术驱动；大牛带队；福利多多”","/语音合成/","jiqishijuedata",39,"机器人工程师","北京·酒仙桥","30k-50k","经验3-5年/本科","10:52发布","车好多集团","O2O/C轮/2000人以上","“全新业务、行业大牛”","/硬件制造/汽车/人工智能/","suanfagongchengshidata",39,"算法工程师","北京·呼家楼","20k-40k","经验3-5年/本科","15:17发布","信风","移动互联网,广告营销/未融资/50-150人","“六险一金”","/推荐/搜索/","ziranyuyanchulidata",39,"自然语言处理","深圳·龙岗区","20k-40k","经验3-5年/本科","09:10发布","深圳市艾唯尔科技有限公司","O2O,硬件/A轮/50-150人","“人工智能,发展空间大”","/其他/人工智能/语音识别/"
"40","shenduxuexidata",40,"深度学习算法工程师","杭州·西溪","16k-32k","经验不限/硕士","09:38发布","ZOOM","移动互联网,社交网络/D轮及以上/500-2000人","“股票期权,国外工作,高速发展,弹性工作”","/视频/机器学习/NLP/","jiqixuexidata",40,"机器学习工程师（推荐方向）","深圳·西乡","20k-40k","经验3-5年/本科","08:25发布","小步网络","移动互联网/B轮/150-500人","“待遇优厚,成长空间大,弹性上班,下午茶”","/算法/数据挖掘/数据分析/","tuxiangchulidata",40,"图像算法工程师","北京·北京大学","28k-56k","经验1-3年/硕士","20:56发布","太古代科技","区块链,人工智能/B轮/50-150人","“福利待遇优厚！”","/人脸识别/","tuxiangshibiedata",40,"图像识别算法","深圳·南山医院","30k-60k","经验5-10年/硕士","16:17发布","欢雀科技","企业服务,移动互联网/A轮/50-150人","“研发实力强 企业增速大”","/智能硬件/深度学习/图像处理/","yuyinshibiedata",40,"语音识别研发工程师(J12431)","北京·西北旺","20k-40k","经验3-5年/本科","11:42发布","滴滴出行","移动互联网/不需要融资/2000人以上","“与国内语音界顶尖大牛做同事”","/弹性工作/节日礼物/岗位晋升/技能培训/","jiqishijuedata",40,"机器视觉算法工程师","深圳·南山区","10k-20k","经验1-3年/本科","2天前发布","TP-LINK","硬件/不需要融资/2000人以上","“机器视觉,图像处理,算法”","/图像处理/","suanfagongchengshidata",40,"算法工程师","杭州·西溪","20k-40k","经验1-3年/本科","15:05发布","至度科技","移动互联网,其他/未融资/15-50人","“五险一金，期权”","/分类信息/深度学习/计算机视觉/推荐/图像处理/","ziranyuyanchulidata",40,"自然语言处理/机器学习算法工程师","北京·东坝","25k-50k","经验3-5年/硕士","2019-03-13","车好多集团","O2O/C轮/2000人以上","“一线互联网技术背景+全年最高19薪”","/人工智能/NLP/"
"41","shenduxuexidata",41,"深度学习研发工程师","广州·黄埔区","12k-20k","经验1-3年/本科","15:52发布","多益网络","移动互联网,游戏/不需要融资/500-2000人","“隶属公司研究院，直接向公司副总汇报工作”","/算法/","jiqixuexidata",41,"NLP/机器学习/自然语言处理工程师","北京·西直门","20k-35k","经验1-3年/本科","10:07发布","康夫子","移动互联网,医疗健康/A轮/15-50人","“七险一金,餐补,15.5薪,技术大牛”","/医疗健康/算法/数据挖掘/","tuxiangchulidata",41,"图像处理与机器学习工程师","无锡·荣巷","8k-15k","经验1-3年/本科","2019-03-12","上海安翰医疗","医疗健康/B轮/500-2000人","“五险一金、带薪年假、节假日福利、年度体检”","/医疗健康/后端/","tuxiangshibiedata",41,"高级图像识别算法工程师","深圳·南山区","20k-40k","经验3-5年/本科","2天前发布","OPPO","移动互联网/不需要融资/2000人以上","“大平台，给力薪酬”","/丰厚年终/扁平管理/追求极致/本分/","yuyinshibiedata",41,"语音识别算法研究员 (MJ000023)","深圳·南山区","30k-60k","经验3-5年/本科","2019-03-13","追一科技","移动互联网,企业服务/B轮/150-500人","“期权激励”","/语音处理/","jiqishijuedata",41,"机器视觉应用工程师","苏州·工业园区","8k-12k","经验1-3年/大专","2019-03-04","苏州鼎纳自动化技术有限公司","人工智能/上市公司/150-500人","“薪酬、福利待遇”","/人工智能/图像处理/","suanfagongchengshidata",41,"算法工程师","北京·西北旺","40k-60k","经验3-5年/硕士","14:23发布","暄和文化","文化娱乐/未融资/少于15人","“14薪”","/人工智能/机器学习/深度学习/","ziranyuyanchulidata",41,"自然语言处理","杭州·古荡","20k-30k","经验3-5年/本科","1天前发布","Club Factory","电子商务,移动互联网/C轮/150-500人","“弹性工作,周末双休”","/电商/"
"42","shenduxuexidata",42,"机器学习/深度学习工程师","杭州·西湖区","15k-30k","经验不限/硕士","2天前发布","百世物流","移动互联网,O2O/D轮及以上/2000人以上","“海量数据环境 成长空间大 弹性工作”","/建模/算法/数据挖掘/","jiqixuexidata",42,"机器学习工程师（NLP方向）","北京·朝阳区","15k-30k","经验1-3年/硕士","11:19发布","颐圣智能","医疗健康,移动互联网/A轮/15-50人","“地铁周边 五险一金 人工智能 带薪年假”","/人工智能/","tuxiangchulidata",42,"图像处理算法工程师","北京·朝阳区","20k-25k","经验1-3年/硕士","17:21发布","天脉","数据服务/D轮及以上/500-2000人","“提供早晚餐，五险一金，TV+，互联网+”","/云计算/大数据/MySQL/数据处理/","tuxiangshibiedata",42,"图像和多媒体算法实习生","北京·海淀区","6k-8k","经验不限/硕士","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“弹性工作，免费三餐，租房补贴，休闲下午茶”","/图像处理/图形处理/","yuyinshibiedata",42,"方言语音识别与标注","南京·栖霞区","2k-3k","经验应届毕业生/大专","13:19发布","雷森信息科技","数据服务/未融资/少于15人","“机器学习 人工智能”","/人工智能/机器学习/算法/","jiqishijuedata",42,"机器视觉算法工程师","成都·高新区","8k-15k","经验1-3年/本科","2019-03-11","成都泓睿科技","其他/不需要融资/50-150人","“学习机会多”","/计算机视觉/图像处理/","suanfagongchengshidata",42,"算法工程师","宁波·鄞州区","15k-30k","经验应届毕业生/本科","11:22发布","文谷软件","移动互联网/不需要融资/少于15人","“人工智能”","/人工智能/深度学习/计算机视觉/图像处理/","ziranyuyanchulidata",42,"NLP自然语言处理","上海·和平公园","25k-40k","经验3-5年/本科","17:39发布","眸事网","移动互联网,企业服务/天使轮/150-500人","“行业先锋,语音识别,数据驱动,发展空间大”","/算法/数据挖掘/"
"43","shenduxuexidata",43,"深度学习研究员","广州·官洲","25k-50k","经验5-10年/本科","2019-03-08","文远知行","移动互联网,企业服务/A轮/150-500人","“高薪酬；三餐全包；业内大牛；人工智能”","/人工智能/","jiqixuexidata",43,"机器学习工程师","成都·四川大学","12k-24k","经验3-5年/不限","10:00发布","顶呱呱","金融/上市公司/2000人以上","“大平台,双休,包吃,非外包”","/人工智能/","tuxiangchulidata",43,"图像算法工程师","上海·共和新路","20k-35k","经验1-3年/硕士","10:52发布","晶赞科技Zamplus","数据服务,文化娱乐/D轮及以上/150-500人","“技术大牛,前景 钱景,休闲健身”","/图像处理/机器学习/","tuxiangshibiedata",43,"图像识别算法实习生","北京·中关村","2k-4k","经验应届毕业生/硕士","2019-03-14","数据堂","数据服务,分类信息/B轮/150-500人","“弹性工作，周末双休”","/深度学习/机器学习/图像处理/","yuyinshibiedata",43,"语音识别专家","上海·徐家汇","45k-55k","经验3-5年/本科","2019-03-14","泛鼎","移动互联网/未融资/50-150人","“大牛云集、高薪、期权激励、加班补贴”","/深度学习/语音合成/","jiqishijuedata",43,"SW（JQR）-机器视觉算法工程师","深圳·后海","15k-30k","经验3-5年/硕士","3天前发布","顺丰科技有限公司","移动互联网,电子商务/不需要融资/500-2000人","“弹性工作；午餐补贴；通讯补贴；发展空间大”","/机器学习/","suanfagongchengshidata",43,"算法开发工程师","杭州·西湖区","20k-40k","经验3-5年/本科","12:05发布","Rokid","电子商务,移动互联网/B轮/150-500人","“五险一金,股票期权,弹性工作,人工智能”","/可穿戴设备/智能硬件/人工智能/图像处理/计算机视觉/","ziranyuyanchulidata",43,"自然语言处理","南京·宁南","17k-33k","经验3-5年/硕士","2天前发布","硅基智能","移动互联网/B轮/150-500人","“节假日福利、绩效奖金、双休、免费午餐”","/信息安全/移动互联网/人工智能/NLP/算法/"
